features,negative,neutral,positive,label
ensemble-mode,0.7602324,0.15960523,0.08016239,negative
ensemble-mode,0.026151627,0.04227586,0.9315725,positive
ensemble-mode,0.096641354,0.023267994,0.8800906,positive
ensemble-mode,0.044776723,0.92716855,0.02805474,neutral
ensemble-mode,0.05841121,0.049666777,0.891922,
ensemble-mode,0.8788458,0.025880843,0.095273316,positive
ensemble-mode,0.8702436,0.046802737,0.082953624,
ensemble-mode,0.022889452,0.047018584,0.93009204,negative
ensemble-mode,0.9077879,0.064690836,0.027521227,negative
ensemble-mode,0.04524355,0.037331697,0.91742474,
ensemble-mode,0.041809395,0.11085595,0.8473346,
ensemble-mode,0.029131608,0.04434502,0.9265233,positive
ensemble-mode,0.9145382,0.059994023,0.025467817,negative
ensemble-mode,0.010408207,0.017140752,0.97245103,
ensemble-mode,0.0208524,0.020075072,0.95907253,positive
ensemble-mode,0.025294388,0.062246013,0.91245955,
ensemble-mode,0.83505625,0.10894979,0.055993997,
ensemble-mode,0.2126482,0.68037826,0.10697354,
ensemble-mode,0.8818674,0.0469879,0.071144685,positive
ensemble-mode,0.041174196,0.9061466,0.052679203,positive
ensemble-mode,0.011141792,0.029695068,0.9591632,
ensemble-mode,0.06359695,0.85055226,0.08585079,
ensemble-mode,0.055643585,0.06747296,0.87688345,negative
ensemble-mode,0.021653272,0.024130816,0.95421594,
ensemble-mode,0.9127544,0.020640181,0.06660542,
ensemble-mode,0.037518475,0.02415616,0.93832535,
ensemble-mode,0.09083044,0.6594398,0.24972975,positive
ensemble-mode,0.9437567,0.026711557,0.029531768,positive
ensemble-mode,0.11687333,0.7152424,0.16788425,positive
ensemble-mode,0.024303943,0.020389877,0.9553062,negative
ensemble-mode,0.7002017,0.25784442,0.041953858,neutral
ensemble-mode,0.0800186,0.8335329,0.086448394,negative
ensemble-mode,0.22652183,0.6440592,0.129419,neutral
ensemble-mode,0.073613144,0.878883,0.047503874,positive
ensemble-mode,0.035822272,0.026374897,0.93780285,neutral
ensemble-mode,0.24048297,0.032532256,0.7269848,positive
ensemble-mode,0.031192185,0.94092464,0.02788312,positive
ensemble-mode,0.052372158,0.91326356,0.034364305,negative
ensemble-mode,0.04031135,0.90221435,0.057474278,positive
ensemble-mode,0.08616259,0.76060903,0.15322843,positive
ensemble-mode,0.04804448,0.05697471,0.8949808,negative
ensemble-mode,0.04737054,0.044407256,0.9082222,neutral
ensemble-mode,0.026535666,0.061167937,0.9122964,positive
ensemble-mode,0.056431547,0.84915936,0.09440911,negative
ensemble-mode,0.01837834,0.019232782,0.9623889,neutral
ensemble-mode,0.022274306,0.029069811,0.9486559,neutral
ensemble-mode,0.80693626,0.17742163,0.015642086,
ensemble-mode,0.027083946,0.031104071,0.94181204,neutral
ensemble-mode,0.04898476,0.9156792,0.03533598,positive
ensemble-mode,0.9001259,0.06902905,0.030845027,
ensemble-mode,0.838309,0.14242697,0.01926403,negative
ensemble-mode,0.09592591,0.043975193,0.86009884,neutral
ensemble-mode,0.69925505,0.041436862,0.259308,
ensemble-mode,0.012077651,0.017357657,0.9705647,neutral
ensemble-mode,0.90259784,0.076731086,0.020671096,
ensemble-mode,0.81646127,0.15340026,0.030138444,neutral
ensemble-mode,0.032422073,0.05184659,0.9157313,
ensemble-mode,0.056862384,0.78957427,0.15356329,neutral
ensemble-mode,0.034392893,0.04034822,0.9252589,
ensemble-mode,0.93983394,0.0494685,0.010697604,positive
ensemble-mode,0.92203635,0.019372774,0.05859085,positive
ensemble-mode,0.07269441,0.022112459,0.9051931,positive
ensemble-mode,0.073686875,0.8363952,0.08991804,
ensemble-mode,0.057510678,0.8971654,0.04532391,neutral
ensemble-mode,0.012089081,0.020787863,0.96712303,positive
ensemble-mode,0.12269187,0.06288686,0.8144213,positive
ensemble-mode,0.07302901,0.8660592,0.060911816,negative
ensemble-mode,0.1309476,0.8015581,0.06749428,positive
ensemble-mode,0.7668514,0.1592911,0.0738575,neutral
ensemble-mode,0.86596954,0.08941811,0.04461231,
ensemble-mode,0.03551301,0.9362694,0.028217636,negative
ensemble-mode,0.13038333,0.1909029,0.6787138,negative
ensemble-mode,0.073207445,0.064778976,0.8620135,positive
ensemble-mode,0.83476263,0.14042379,0.024813509,positive
ensemble-mode,0.9390348,0.03268423,0.028280951,positive
ensemble-mode,0.8276915,0.108672716,0.063635714,
ensemble-mode,0.16294326,0.7511715,0.08588519,negative
ensemble-mode,0.87923044,0.109417655,0.011351958,negative
ensemble-mode,0.79327583,0.16415475,0.04256942,
ensemble-mode,0.0361574,0.9311265,0.032716174,
